modulation,snr,true_label,detector,pred_label
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,1
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,0
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
cw,-15.0,1,iq_energy,1
cw,-15.0,1,fft_peak,1
cw,-15.0,1,cnn,1
cw,-15.0,1,probabilistic,0
